(RODA 2 COM O CIRCUITO DA RODA 1)
PWM    RPM R1    RPM R2    RPM R3
100PWM    RPM R1    RPM R2    RPM R3
1    71    0    0
1    1250    0    0
1    1333    0    0
1    1190    0    0
1    1250    0    0
1    1171    0    0
1    1158    0    0
1    1163    0    0
1    1114    0    0
1    1126    0    0
1    1103    0    0
1    1100    0    0
1    1083    0    0
1    1075    0    0
1    1059    0    0
1    1047    0    0
1    1040    0    0
1    1024    0    0
1    1018    0    0
1    1003    0    0
1    985    0    0
1    979    0    0
1    969    0    0
1    961    0    0
1    953    0    0
1    935    0    0
1    927    0    0
1    920    0    0
1    906    0    0
1    896    0    0
1    884    0    0
1    878    0    0
1    866    0    0
1    855    0    0
1    0    0    0
1    535    0    0
1    546    0    0
1    520    0    0
1    530    0    0
1    494    0    0
1    510    0    0
1    495    0    0
1    496    0    0
1    489    0    0
1    469    0    0
1    469    0    0
1    462    0    0
1    456    0    0
1    445    0    0
1    443    0    0
1    433    0    0
1    431    0    0
1    420    0    0
1    412    0    0
1    407    0    0
1    403    0    0
1    397    0    0
1    391    0    0
1    383    0    0
1    373    0    0
1    371    0    0
1    360    0    0
1    357    0    0
1    352    0    0
1    346    0    0
1    0    0    0
1    227    0    0
1    161    0    0
1    111    0    0
1    120    0    0
1    128    0    0
1    105    0    0
1    106    0    0
1    98    0    0
1    103    0    0
1    93    0    0
1    82    0    0
1    75    0    0
1    71    0    0
1    65    0    0
1    60    0    0
1    56    0    0
1    53    0    0
1    50    0    0
1    47    0    0
1    45    0    0
1    43    0    0
1    41    0    0
1    39    0    0
1    37    0    0
1    36    0    0
1    34    0    0
1    33    0    0
1    32    0    0
1    31    0    0
1    30    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
1    0    0    0
20    0    0    0
20    0    0    0
20    16    0    0
20    14    0    0
20    27    0    0
20    48    0    0
20    57    0    0
20    64    0    0
20    80    0    0
20    93    0    0
20    97    0    0
20    116    0    0
20    125    0    0
20    135    0    0
20    143    0    0
20    156    0    0
20    173    0    0
20    175    0    0
20    191    0    0
20    200    0    0
20    206    0    0
20    219    0    0
20    227    0    0
20    235    0    0
20    0    0    0
20    468    0    0
20    526    0    0
20    550    0    0
20    522    0    0
20    535    0    0
20    544    0    0
20    537    0    0
20    541    0    0
20    546    0    0
20    558    0    0
20    560    0    0
20    566    0    0
20    567    0    0
20    566    0    0
20    570    0    0
20    576    0    0
20    572    0    0
20    581    0    0
20    583    0    0
20    586    0    0
20    591    0    0
20    594    0    0
20    592    0    0
20    595    0    0
20    601    0    0
20    599    0    0
20    604    0    0
20    607    0    0
20    609    0    0
20    0    0    0
20    714    0    0
20    645    0    0
20    677    0    0
20    681    0    0
20    687    0    0
20    675    0    0
20    685    0    0
20    692    0    0
20    692    0    0
20    690    0    0
20    694    0    0
20    694    0    0
20    692    0    0
20    695    0    0
20    690    0    0
20    691    0    0
20    696    0    0
20    696    0    0
20    700    0    0
20    694    0    0
20    701    0    0
20    699    0    0
20    699    0    0
20    698    0    0
20    700    0    0
20    703    0    0
20    703    0    0
20    702    0    0
20    703    0    0
20    704    0    0
20    0    0    0
20    789    0    0
20    735    0    0
20    750    0    0
20    757    0    0
20    726    0    0
20    725    0    0
20    732    0    0
20    724    0    0
20    733    0    0
20    729    0    0
20    733    0    0
20    730    0    0
20    729    0    0
20    729    0    0
20    730    0    0
20    730    0    0
20    733    0    0
20    733    0    0
