SETPOINT    RPM RODA 1        PWM RODA 1         RPM RODA 2        PWM RODA 2

600.00         0.00              13.70              0.00              17.78
600.00         0.00              18.31              0.00              26.67
600.00         0.00              22.93              0.00              35.56
600.00         0.00              27.54              0.00              44.44
600.00         0.00              32.16              32.00              52.27
600.00         0.00              36.77              103.00              58.43
600.00         37.00              40.26              192.00              63.09
600.00         37.00              44.87              192.00              69.47
600.00         744.00              27.80              863.00              53.14
600.00         773.00              31.08              892.00              50.77
600.00         741.00              30.93              899.00              46.32
600.00         704.00              30.73              897.00              41.98
600.00         671.00              30.65              884.00              38.00
600.00         671.00              29.86              884.00              33.75
600.00         357.00              38.82              714.00              35.21
600.00         416.00              36.56              669.00              34.39
600.00         464.00              36.97              622.00              34.77
600.00         467.00              38.28              586.00              35.47
600.00         485.00              38.78              550.00              36.74
600.00         485.00              39.80              550.00              37.35
600.00         803.00              31.06              297.00              46.52
600.00         784.00              32.44              310.00              49.64
600.00         750.00              31.91              355.00              52.49
600.00         712.00              31.65              408.00              54.52
600.00         669.00              31.81              468.00              55.56
600.00         669.00              30.96              468.00              57.73
600.00         352.00              40.02              852.00              46.89
600.00         428.00              37.27              857.00              44.41
600.00         503.00              36.89              849.00              40.89
600.00         532.00              37.32              835.00              37.64
600.00         556.00              37.33              811.00              34.90
600.00         556.00              37.85              811.00              31.69
600.00         764.00              31.89              529.00              37.96
600.00         754.00              32.48              502.00              38.87
600.00         718.00              32.31              472.00              41.22
600.00         680.00              32.28              451.00              43.71
600.00         645.00              32.44              450.00              45.87
600.00         645.00              31.84              450.00              48.09
600.00         357.00              40.21              595.00              45.48
600.00         401.00              38.60              625.00              45.09
600.00         484.00              37.95              652.00              43.93
600.00         548.00              37.52              675.00              42.49
600.00         580.00              37.43              681.00              41.27
600.00         580.00              37.82              681.00              40.09
600.00         773.00              32.13              714.00              37.79
600.00         754.00              32.81              665.00              37.86
600.00         721.00              32.49              622.00              38.14
600.00         675.00              32.70              586.00              38.86
600.00         627.00              33.24              550.00              40.13
600.00         627.00              32.67              550.00              40.74
600.00         323.00              41.67              411.00              46.12
600.00         384.00              39.69              458.00              46.83
600.00         484.00              38.78              503.00              47.61
600.00         547.00              38.51              539.00              48.02
600.00         598.00              37.84              580.00              47.69
600.00         598.00              38.23              580.00              48.13
600.00         823.00              31.44              794.00              41.30
600.00         813.00              31.70              784.00              39.55
600.00         757.00              31.68              777.00              37.02
600.00         710.00              31.48              747.00              35.37
600.00         663.00              31.71              716.00              34.12
600.00         663.00              30.87              716.00              32.28
600.00         327.00              40.56              416.00              40.56
600.00         416.00              37.46              431.00              41.68
600.00         484.00              37.48              434.00              44.14
600.00         541.00              37.16              459.00              45.77
600.00         581.00              36.82              480.00              47.26
600.00         581.00              37.27              480.00              49.11
600.00         714.00              33.39              684.00              44.09
600.00         680.00              34.53              724.00              42.27
600.00         652.00              34.51              731.00              40.34
600.00         623.00              34.78              727.00              38.56
600.00         586.00              35.51              716.00              37.03
600.00         586.00              35.34              716.00              35.27
600.00         327.00              43.29              535.00              39.59
600.00         428.00              40.40              532.00              39.98
600.00         533.00              39.30              523.00              41.28
600.00         613.00              38.17              532.00              42.09
600.00         657.00              37.34              539.00              42.89
600.00         657.00              37.23              539.00              43.82
600.00         823.00              31.76              617.00              42.13
600.00         813.00              31.59              650.00              41.06
600.00         770.00              31.17              652.00              40.38
600.00         732.00              30.70              650.00              39.68
600.00         693.00              30.58              645.00              39.10
600.00         693.00              29.57              645.00              38.42
600.00         357.00              39.03              565.00              40.42
600.00         431.00              36.16              565.00              40.64
600.00         484.00              36.40              563.00              41.22
600.00         489.00              37.54              563.00              41.76
600.00         498.00              38.16              570.00              42.08
600.00         498.00              39.01              570.00              42.55
600.00         744.00              32.35              625.00              41.16
600.00         739.00              33.22              636.00              40.63
600.00         701.00              33.27              642.00              39.93
600.00         667.00              33.24              637.00              39.50
600.00         627.00              33.68              633.00              39.07
600.00         627.00              33.17              633.00              38.56
600.00         327.00              42.05              565.00              40.34
600.00         414.00              39.28              532.00              41.71
600.00         513.00              38.36              543.00              42.23
600.00         584.00              37.62              547.00              42.98
600.00         627.00              36.97              556.00              43.48
600.00         627.00              37.08              556.00              44.16
600.00         764.00              32.72              647.00              41.78
600.00         739.00              33.24              650.00              41.32
600.00         701.00              33.13              652.00              40.53
600.00         658.00              33.38              643.00              40.06
600.00         622.00              33.70              639.00              39.53
600.00         622.00              33.26              639.00              38.93
600.00         357.00              41.12              535.00              41.82
600.00         431.00              38.77              535.00              42.40
600.00         513.00              38.14              543.00              43.10
600.00         578.00              37.45              556.00              43.54
600.00         623.00              36.74              570.00              43.77
600.00         623.00              36.90              570.00              44.27
600.00         684.00              34.88              684.00              40.91
600.00         636.00              36.14              665.00              40.72
600.00         592.00              36.84              662.00              39.79
600.00         556.00              37.66              645.00              39.43
600.00         550.00              37.91              627.00              39.30
800.00         550.00              42.82              627.00              44.76
800.00         773.00              37.99              595.00              48.39
800.00         798.00              39.10              621.00              50.44
800.00         820.00              38.64              662.00              51.82
800.00         835.00              38.19              687.00              53.18
800.00         847.00              37.67              710.00              54.18
800.00         847.00              37.40              4.00              79.13
800.00         873.00              36.25              933.00              57.34
800.00         853.00              36.49              943.00              58.48
800.00         816.00              37.05              946.00              56.30
800.00         788.00              37.50              937.00              54.45
800.00         785.00              37.48              934.00              52.49
800.00         785.00              37.57              934.00              50.49
800.00         823.00              36.53              882.00              50.24
800.00         813.00              36.94              872.00              49.16
800.00         767.00              38.16              866.00              48.26
800.00         754.00              38.47              857.00              47.56
800.00         758.00              38.60              853.00              46.82
800.00         758.00              38.95              853.00              46.02
800.00         863.00              36.10              803.00              46.90
800.00         818.00              37.76              803.00              46.67
800.00         780.00              38.43              790.00              47.06
800.00         778.00              38.37              793.00              47.06
800.00         776.00              38.58              787.00              47.37
800.00         776.00              38.75              787.00              47.54
800.00         803.00              38.12              803.00              47.20
800.00         798.00              38.45              798.00              47.38
800.00         800.00              38.37              790.00              47.66
800.00         808.00              38.14              793.00              47.68
800.00         805.00              38.23              787.00              47.99
800.00         805.00              38.17              787.00              48.16
800.00         823.00              37.58              794.00              48.12
800.00         813.00              37.84              798.00              48.10
800.00         800.00              38.06              800.00              48.08
800.00         798.00              38.03              798.00              48.16
800.00         799.00              38.00              799.00              48.14
800.00         799.00              38.01              799.00              48.16
800.00         794.00              38.17              794.00              48.34
800.00         798.00              38.06              798.00              48.28
800.00         797.00              38.13              797.00              48.36
800.00         806.00              37.88              806.00              48.10
800.00         805.00              37.93              805.00              48.08
800.00         805.00              37.88              805.00              48.00
800.00         803.00              37.90              833.00              46.99
800.00         788.00              38.32              818.00              47.11
800.00         790.00              38.24              810.00              47.05
800.00         786.00              38.45              808.00              46.94
800.00         787.00              38.50              805.00              46.92
800.00         787.00              38.61              805.00              46.83
800.00         803.00              38.22              803.00              46.82
800.00         813.00              38.02              784.00              47.40
800.00         830.00              37.48              780.00              47.70
800.00         838.00              37.13              786.00              47.79
800.00         841.00              36.81              781.00              48.18
800.00         841.00              36.51              781.00              48.44
800.00         705.00              40.32              794.00              48.29
800.00         724.00              39.46              798.00              48.30
800.00         750.00              39.40              800.00              48.27
800.00         761.00              39.64              798.00              48.35
800.00         781.00              39.42              799.00              48.34
800.00         781.00              39.71              799.00              48.36
800.00         852.00              37.71              794.00              48.54
800.00         843.00              38.11              798.00              48.47
800.00         836.00              37.93              807.00              48.22
800.00         828.00              37.84              813.00              47.95
800.00         829.00              37.53              817.00              47.64
800.00         829.00              37.32              817.00              47.41
800.00         863.00              36.07              833.00              46.62
800.00         833.00              36.74              818.00              46.69
800.00         790.00              37.57              820.00              46.30
800.00         771.00              37.90              823.00              45.92
800.00         764.00              38.19              817.00              45.79
800.00         764.00              38.42              817.00              45.51
800.00         863.00              35.70              773.00              46.73
800.00         828.00              37.01              769.00              47.10
800.00         810.00              37.08              780.00              47.17
800.00         808.00              36.93              778.00              47.58
800.00         799.00              37.12              781.00              47.80
800.00         799.00              37.06              781.00              48.09
800.00         764.00              38.13              794.00              47.94
800.00         784.00              37.54              798.00              47.94
800.00         800.00              37.33              800.00              47.92
800.00         806.00              37.27              798.00              47.99
800.00         817.00              36.93              799.00              47.98
800.00         817.00              36.88              799.00              48.00
800.00         735.00              39.24              823.00              47.22
800.00         739.00              39.00              813.00              47.30
800.00         757.00              38.96              816.00              46.97
800.00         784.00              38.61              821.00              46.57
800.00         805.00              38.29              817.00              46.42
800.00         805.00              38.41              817.00              46.15
800.00         892.00              35.74              773.00              47.36
800.00         877.00              36.13              788.00              47.10
800.00         830.00              36.85              790.00              47.27
800.00         778.00              37.85              793.00              47.32
800.00         752.00              38.42              787.00              47.64
800.00         752.00              38.59              787.00              47.81
800.00         803.00              37.42              803.00              47.47
800.00         813.00              37.47              798.00              47.65
800.00         820.00              37.23              800.00              47.59
800.00         830.00              36.83              801.00              47.57
800.00         823.00              36.88              793.00              47.82
800.00         823.00              36.66              793.00              47.90
800.00         617.00              42.71              794.00              47.97
800.00         665.00              41.13              798.00              47.93
800.00         731.00              40.53              800.00              47.90
800.00         769.00              40.40              798.00              47.98
800.00         793.00              40.20              799.00              47.97
800.00         793.00              40.43              799.00              47.99
800.00         882.00              37.79              823.00              47.20
800.00         872.00              38.13              813.00              47.28
800.00         856.00              37.98              816.00              46.95
800.00         850.00              37.61              806.00              47.06
800.00         835.00              37.64              805.00              46.97
800.00         835.00              37.26              805.00              46.89
800.00         744.00              39.74              773.00              47.88
800.00         773.00              38.62              773.00              48.16
800.00         790.00              38.53              780.00              48.33
800.00         793.00              38.64              786.00              48.45
1000.00         793.00              43.28              793.00              54.37
1000.00         793.00              44.87              793.00              57.47
1000.00         941.00              41.99              852.00              58.57
1000.00         935.00              43.72              877.00              60.14
1000.00         957.00              43.51              888.00              61.69
1000.00         972.00              43.55              899.00              63.03
1000.00         971.00              43.91              907.00              64.30
1000.00         971.00              44.13              907.00              65.70
1000.00         1046.00              42.08              959.00              65.35
1000.00         1046.00              42.28              973.00              65.68
1000.00         1023.00              42.63              965.00              66.40
1000.00         1014.00              42.55              963.00              66.96
1000.00         1001.00              42.77              966.00              67.40
1000.00         1001.00              42.66              966.00              67.91
1000.00         948.00              44.26              977.00              68.05
1000.00         959.00              43.93              973.00              68.56
1000.00         972.00              43.94              972.00              68.98
1000.00         969.00              44.34              976.00              69.26
1000.00         969.00              44.56              981.00              69.46
1000.00         969.00              44.79              981.00              69.76
1000.00         1000.00              44.09              1000.00              69.41
1000.00         997.00              44.42              997.00              69.58
1000.00         998.00              44.39              998.00              69.58
1000.00         998.00              44.41              998.00              69.62
1000.00         996.00              44.49              990.00              69.91
1000.00         996.00              44.50              990.00              70.03
1000.00         988.00              44.77              988.00              70.24
1000.00         1008.00              44.20              1008.00              69.75
1000.00         1013.00              44.14              994.00              70.17
1000.00         1028.00              43.62              1000.00              70.01
1000.00         1033.00              43.37              998.00              70.10
1000.00         1033.00              43.15              998.00              70.12
1000.00         1075.00              41.62              1017.00              69.52
1000.00         1063.00              41.72              991.00              70.20
1000.00         1057.00              41.33              1000.00              69.94
1000.00         1048.00              41.12              998.00              70.04
1000.00         1048.00              40.68              996.00              70.13
1000.00         1048.00              40.31              996.00              70.18
1000.00         1017.00              40.88              1017.00              69.54
1000.00         1020.00              40.43              1005.00              69.76
1000.00         1005.00              40.75              1005.00              69.64
1000.00         988.00              41.12              995.00              69.90
1000.00         979.00              41.36              996.00              69.91
1000.00         979.00              41.45              996.00              69.97
1000.00         1000.00              40.98              1029.00              68.93
1000.00         997.00              41.22              997.00              69.69
1000.00         998.00              41.19              998.00              69.58
1000.00         1005.00              41.01              1005.00              69.38
1000.00         1009.00              40.90              997.00              69.60
1000.00         1009.00              40.86              997.00              69.62
1000.00         1005.00              40.91              977.00              70.33
1000.00         1011.00              40.66              997.00              69.93
1000.00         990.00              41.26              1000.00              69.94
1000.00         997.00              40.97              997.00              70.06
