SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2

1000.00         0.00              14.63              0.00              29.63
1000.00         0.00              21.95              78.00              41.84
1000.00         0.00              29.27              188.00              52.13
1000.00         0.00              36.58              304.00              60.70
1000.00         7.00              43.79              423.00              67.47
1000.00         82.00              49.83              511.00              73.53
1000.00         202.00              54.71              582.00              78.73
1000.00         202.00              60.77              582.00              85.19
1000.00         1147.00              51.05              1000.00              77.44
1000.00         1141.00              51.80              997.00              79.09
1000.00         1158.00              50.48              994.00              79.23
1000.00         1148.00              49.52              997.00              79.20
1000.00         1145.00              48.47              1001.00              79.13
1000.00         1145.00              47.40              1001.00              79.13
1000.00         1091.00              47.23              1005.00              78.98
1000.00         1057.00              47.02              1000.00              79.09
1000.00         1059.00              46.51              1001.00              79.03
1000.00         1050.00              46.23              1000.00              79.06
1000.00         1046.00              45.91              1001.00              79.02
1000.00         1046.00              45.57              1001.00              79.01
1000.00         1034.00              45.43              1034.00              77.89
1000.00         1028.00              45.26              1000.00              78.64
1000.00         1020.00              45.17              1001.00              78.49
1000.00         1021.00              45.00              1007.00              78.27
1000.00         1024.00              44.80              1006.00              78.23
1000.00         1024.00              44.63              1006.00              78.13
1000.00         1005.00              44.76              1034.00              77.11
1000.00         1000.00              44.77              1000.00              77.84
1000.00         1001.00              44.75              1001.00              77.69
1000.00         1000.00              44.76              1007.00              77.47
1000.00         1006.00              44.66              1006.00              77.43
1000.00         1006.00              44.63              1006.00              77.33
1000.00         1063.00              43.64              1034.00              76.31
1000.00         1057.00              43.39              1014.00              76.58
1000.00         1068.00              42.78              1020.00              76.10
1000.00         1064.00              42.36              1014.00              76.02
1000.00         1064.00              41.89              1012.00              75.86
1000.00         1064.00              41.42              1012.00              75.67
1000.00         1034.00              41.45              1005.00              75.73
1000.00         1028.00              41.24              1000.00              75.80
1000.00         1030.00              40.99              1011.00              75.41
1000.00         1028.00              40.81              1007.00              75.42
1000.00         1024.00              40.67              1006.00              75.34
1000.00         1024.00              40.48              1006.00              75.24
1000.00         1005.00              40.62              1034.00              74.22
1000.00         1000.00              40.63              1014.00              74.49
1000.00         1001.00              40.61              1011.00              74.31
1000.00         1000.00              40.62              1014.00              74.03
1000.00         1001.00              40.60              1012.00              73.90
1000.00         1001.00              40.59              1012.00              73.72
1000.00         977.00              40.98              1005.00              73.77
1000.00         991.00              40.88              1005.00              73.67
1000.00         990.00              40.98              1009.00              73.47
1000.00         994.00              40.99              1001.00              73.62
1000.00         993.00              41.06              1004.00              73.47
1000.00         993.00              41.11              1004.00              73.42
1000.00         959.00              41.72              1017.00              72.93
1000.00         1002.00              41.25              1017.00              72.73
1000.00         1000.00              41.34              1009.00              72.74
1000.00         1008.00              41.21              1008.00              72.61
1000.00         1011.00              41.12              1005.00              72.59
1000.00         1011.00              41.04              1005.00              72.50
1000.00         1022.00              40.78              994.00              72.80
1000.00         1020.00              40.67              1005.00              72.48
1000.00         1020.00              40.52              1001.00              72.58
1000.00         1017.00              40.42              1002.00              72.52
1000.00         1012.00              40.38              1006.00              72.36
1000.00         1012.00              40.28              1006.00              72.28
1000.00         994.00              40.49              994.00              72.59
1000.00         997.00              40.45              997.00              72.54
1000.00         994.00              40.53              994.00              72.69
1000.00         995.00              40.55              995.00              72.74
1000.00         994.00              40.60              1000.00              72.65
1000.00         994.00              40.65              1000.00              72.67
